candidate_id,rank,score,reasoning
CAND_0000031,1,0.6992,"NLP Engineer with 6.0yrs experience at Swiggy; based in Hyderabad, Telangana, India. strong JD-match skills: Embeddings, Pinecone, Hugging Face Transformers. open-to-work; GitHub 33/100 (moderate); recruiter response rate 91%"
CAND_0000001,2,0.6129,"Backend Engineer with 6.9yrs experience at Mindtree; based in Toronto, Canada. strong JD-match skills: TTS, Speech Recognition, Milvus. open-to-work. concern: low GitHub activity (9/100)"
CAND_0000010,3,0.3370,"Data Engineer with 4.6yrs experience at Ola; based in London, UK. strong JD-match skills: GANs, Object Detection, BM25. GitHub 34/100 (moderate). concern: not marked open-to-work, 120d notice period"
CAND_0000027,4,0.3329,"DevOps Engineer with 3.9yrs experience at Infosys; based in Kolkata, West Bengal, India. strong JD-match skills: Weights & Biases, Data Science, Information Retrieval. open-to-work; GitHub 39/100 (moderate). concern: 90d notice period"
CAND_0000015,5,0.2733,"Software Engineer with 5.4yrs experience at Razorpay; based in Trivandrum, Kerala, India. strong JD-match skills: Qdrant, PyTorch, Weights & Biases. open-to-work. concern: 90d notice period, no GitHub linked"
CAND_0000038,6,0.2720,"DevOps Engineer with 6.7yrs experience at Swiggy; based in Coimbatore, Tamil Nadu, India. strong JD-match skills: Weaviate, Azure, MLOps. open-to-work; GitHub 38/100 (moderate). concern: 90d notice period"
CAND_0000025,7,0.2678,"Frontend Engineer with 7.3yrs experience at Tech Mahindra; based in Vizag, Andhra Pradesh, India. strong JD-match skills: LangChain, Apache Flink, Spark. open-to-work; recruiter response rate 74%. concern: 120d notice period, no GitHub linked"
CAND_0000014,8,0.2658,"Software Engineer with 8.4yrs experience at Zomato; based in Hyderabad, Telangana, India. strong JD-match skills: OpenSearch, FAISS, GANs. recruiter response rate 80%. concern: not marked open-to-work, 90d notice period"
CAND_0000019,9,0.2606,"Business Analyst with 6.5yrs experience at Wayne Enterprises; based in Trivandrum, Kerala, India. strong JD-match skills: AWS, Azure. concern: not marked open-to-work, no GitHub linked"
CAND_0000007,10,0.2595,"Civil Engineer with 5.5yrs experience at Wipro; based in Gurgaon, Haryana, India. strong JD-match skills: Spark, Apache Beam. 30d notice. concern: not marked open-to-work, no GitHub linked"
CAND_0000043,11,0.2548,".NET Developer with 8.3yrs experience at Swiggy; based in Chandigarh, Chandigarh, India. strong JD-match skills: Elasticsearch, Image Classification, Reinforcement Learning. concern: not marked open-to-work, 120d notice period"
CAND_0000016,12,0.2493,"Mechanical Engineer with 5.3yrs experience at Infosys; based in Gurgaon, Haryana, India. strong JD-match skills: SQL. open-to-work; GitHub 43/100 (moderate)"
CAND_0000035,13,0.2466,"Software Engineer with 4.3yrs experience at Globex Inc; based in Hyderabad, Telangana, India. strong JD-match skills: BentoML, PostgreSQL, Kafka. concern: not marked open-to-work, no GitHub linked"
CAND_0000033,14,0.2310,"Graphic Designer with 8.6yrs experience at Wipro; based in Pune, Maharashtra, India. strong JD-match skills: Snowflake, Airflow, Kubernetes. open-to-work; GitHub 38/100 (moderate); 30d notice. concern: low recruiter response rate (8%)"
CAND_0000048,15,0.2283,"Full Stack Developer with 9.7yrs experience at CRED; based in Hyderabad, Telangana, India. strong JD-match skills: AWS. open-to-work. concern: 120d notice period, no GitHub linked"
CAND_0000032,16,0.2242,"Cloud Engineer with 8.1yrs experience at Cognizant; based in Gurgaon, Haryana, India. strong JD-match skills: Speech Recognition, Embeddings, Spark. concern: not marked open-to-work, 150d notice period"
